billing_account_id,service_id,service_description,sku_id,sku_description,usage_start_time,usage_end_time,project_id,project_name,location_region,location_zone,resource_name,usage_amount,usage_unit,cost,currency,credits_amount,credits_type,net_cost,labels_env,labels_cost_center
017591-AFE14E-F780B1,6F81-5844-456A,Compute Engine,D499-4A77-4C08,N2 Instance Core running in Americas,2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1-a,gcp-ai-node-1,720.0,hours,23.40,USD,0.00,None,23.40,prod,finops-01
017591-AFE14E-F780B1,6F81-5844-456A,Compute Engine,9E88-5182-3A19,E2-Standard-4 Core running in Americas,2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1-b,analytics-worker-large,720.0,hours,96.80,USD,-19.36,Sustained Use Discount,77.44,analytics,data-team
017591-AFE14E-F780B1,6F81-5844-456A,Compute Engine,2D14-0A44-45E9,E2-Micro Instance (Always Free Tier),2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1-a,gcp-ai-node-free,744.0,hours,7.44,USD,-7.44,Free Tier Discount,0.00,dev,engineering
017591-AFE14E-F780B1,6F81-5844-456A,Cloud Storage,B838-8B41-8B41,Standard Storage US Regional,2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1,gs://ai-studio-models-bucket,250.0,gibibyte month,5.00,USD,-1.00,Free Tier 5GB,4.00,storage,ml-team
017591-AFE14E-F780B1,6F81-5844-456A,Cloud Storage,A419-5481-22E4,Standard Storage Egress to Americas,2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1,gs://ai-studio-models-bucket,45.0,gibibyte,5.40,USD,0.00,None,5.40,storage,ml-team
017591-AFE14E-F780B1,6F81-5844-456A,Cloud SQL,38E1-249A-1F94,Cloud SQL for PostgreSQL: db-custom-2-7680,2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1-c,postgres-primary-db,720.0,hours,68.50,USD,-10.28,Committed Use Discount,58.22,database,backend
017591-AFE14E-F780B1,6F81-5844-456A,BigQuery,19F4-9841-33A1,BigQuery Analysis (Active Query Processing),2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1,bi_telemetry_dataset,1.8,tebibyte,11.25,USD,-5.00,Free Tier 1TB,6.25,analytics,bi-ops
017591-AFE14E-F780B1,6F81-5844-456A,Vertex AI,89E1-4991-A144,Gemini 1.5 Pro Prediction (Prompt & Output),2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1,gemini-model-endpoint,850000.0,characters,4.25,USD,0.00,None,4.25,genai,ai-research
017591-AFE14E-F780B1,6F81-5844-456A,Cloud Logging,D841-8B41-2A11,Log Ingestion (First 50GB Free),2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1,global-systemd-logs,75.0,gibibyte,12.50,USD,-10.00,Free Tier 50GB,2.50,devops,platform
017591-AFE14E-F780B1,6F81-5844-456A,Persistent Disk,49A1-229A-1F44,Storage PD Capacity (Unattached Zombie Disk),2026-08-01T00:00:00Z,2026-08-31T23:59:59Z,calm-catfish-464514-t6,Production-AI,us-central1,us-central1-b,unattached-legacy-db-disk,500.0,gibibyte month,20.00,USD,0.00,None,20.00,dev,zombie-asset
